"Shelf No.","Warehouse Code","Customer Code","Sub-wh. code","Zone Code","Sku Code","Available Qty.","pending shipped Qty.","Putaway time","Stock Type",Length,Width,Height,Wt,库位类型描述
567-070D,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A0061B,4,0,"2021-07-07 13:55:19",Standard,84.00,71.00,49.00,18.740,英国仓卡板区库位
567-070E,UK,G536,UK-5,UK-5PHIGH-P,MP000000000000376,320,0,"2021-02-25 08:04:43",Standard,21.00,20.00,10.00,0.560,英国仓卡板区库位
567-070F,UK,G666,UK-5,UK-5PHIGH-P,G666-G26001287,45,0,"2021-04-22 07:10:47",Standard,72.00,24.00,13.00,6.300,英国仓卡板区库位
567-070G,UK,G2300,UK-5,UK-5PHIGH-P,G2300-UK-SM-1519Y-RED,28,0,"2021-04-26 20:56:48",Standard,41.00,37.00,28.00,6.420,英国仓卡板区库位
567-071B,UK,G666,UK-5,UK-5PHIGH-P,G666-G27000519,120,0,"2021-06-01 12:47:08",Standard,29.00,21.00,20.50,1.330,英国仓卡板区库位
567-071C,UK,G666,UK-5,UK-5PHIGH-P,G666-G13004679,15,0,"2021-09-29 07:31:24",Standard,50.00,40.00,38.00,28.000,英国仓卡板区库位
567-071D,UK,G536,UK-5,UK-5PHIGH-P,MP000000000001946,9,0,"2020-10-14 13:04:39",Standard,70.00,52.00,31.00,4.520,英国仓卡板区库位
567-071E,UK,G666,UK-5,UK-5PHIGH-P,G666-G14000726,8,0,"2021-04-30 15:37:29",Standard,76.00,57.00,30.50,17.000,英国仓卡板区库位
567-071F,UK,G2425,UK-5,UK-5PHIGH-P,G2425-GY-1573-STAR-FUR-PINK,10,0,"2021-08-20 12:07:28",Standard,60.00,52.00,39.00,6.950,英国仓卡板区库位
567-071G,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000063,60,0,"2021-01-21 08:04:44",Standard,52.00,26.00,12.50,3.500,英国仓卡板区库位
567-072B,UK,G666,UK-5,UK-5PHIGH-P,G666-G26001075,35,0,"2021-08-23 17:35:28",Standard,119.00,22.50,19.00,13.000,英国仓卡板区库位
567-072C,UK,G4875,UK-5,UK-5PHIGH-P,G4875-TPRMWC20120002,6,0,"2021-04-03 11:36:46",Standard,68.00,59.00,52.00,22.530,英国仓卡板区库位
567-072D,UK,G536,UK-5,UK-5PHIGH-P,M010000000000955655,60,0,"2021-03-11 09:50:25",Standard,85.00,20.00,12.00,5.000,英国仓卡板区库位
567-072E,UK,G1096,UK-5,UK-5PHIGH-P,G1096-57+X001AHVLAD,13,0,"2021-07-05 12:35:10",Standard,49.00,43.00,39.00,21.300,英国仓卡板区库位
567-072F,UK,G1080,UK-5,UK-5PHIGH-P,G1080-UK-BCHB043,40,0,"2021-07-29 08:55:31",Standard,53.00,27.00,26.50,2.304,英国仓卡板区库位
567-073B,UK,G536,UK-5,UK-5PHIGH-P,M010000000001574939,4,0,"2020-08-26 21:38:44",Standard,56.00,49.00,23.00,4.350,英国仓卡板区库位
567-073C,UK,G666,UK-5,UK-5PHIGH-P,G666-G34000593,12,0,"2021-03-03 11:58:33",Standard,71.50,43.00,35.50,7.430,英国仓卡板区库位
567-073D,UK,G1080,UK-5,UK-5PHIGH-P,G1080-UK-BCHB041,20,0,"2021-07-29 08:44:02",Standard,53.00,53.00,23.00,8.980,英国仓卡板区库位
567-073E,UK,G2006,UK-5,UK-5PHIGH-P,G2006-LA0052UK,96,0,"2020-11-03 18:00:16",Standard,34.00,31.50,5.50,1.650,英国仓卡板区库位
567-073F,UK,G536,UK-5,UK-5PHIGH-P,M010000000001838994,7,0,"2020-11-29 16:53:22",Standard,59.10,58.50,28.50,8.770,英国仓卡板区库位
567-073G,UK,G7065,UK-5,UK-5PHIGH-P,G7065-X00172PMX3-6,12,0,"2021-10-30 12:13:01",Standard,58.00,41.50,40.50,9.900,英国仓卡板区库位
567-074B,UK,G666,UK-5,UK-5PHIGH-P,G666-G57000085,190,0,"2021-08-18 13:38:34",Standard,24.00,15.00,11.00,1.000,英国仓卡板区库位
567-074D,UK,G4875,UK-5,UK-5PHIGH-P,G4875-TPRMWC20120006,6,0,"2021-04-03 11:29:22",Standard,69.00,58.00,51.00,22.330,英国仓卡板区库位
567-074E,UK,G3423,UK-5,UK-5PHIGH-P,G3423-SOF-607V-LGR-NA-1,4,0,"2021-04-29 10:39:04",Standard,73.00,69.00,52.00,29.180,英国仓卡板区库位
567-074F,UK,G666,UK-5,UK-5PHIGH-P,G666-17002972,3,0,"2021-06-19 13:19:24",Standard,100.20,41.20,8.20,3.415,英国仓卡板区库位
567-074G,UK,G2425,UK-5,UK-5PHIGH-P,G2425-GY-17150-30-NAVY,7,0,"2021-10-04 10:50:20",Standard,76.50,54.00,45.00,16.730,英国仓卡板区库位
567-075B,UK,G666,UK-5,UK-5PHIGH-P,G666-G26001075,35,0,"2021-08-23 17:17:11",Standard,119.00,22.50,19.00,13.000,英国仓卡板区库位
567-075C,UK,G536,UK-5,UK-5PHIGH-P,M010000000002077518,26,0,"2021-03-16 08:11:03",Standard,107.00,52.00,11.00,19.200,英国仓卡板区库位
567-075D,UK,G4875,UK-5,UK-5PHIGH-P,G4875-TPRMWC20120006,6,0,"2021-04-03 11:27:16",Standard,69.00,58.00,51.00,22.330,英国仓卡板区库位
567-075E,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000063,49,0,"2021-01-21 08:02:57",Standard,52.00,26.00,12.50,3.500,英国仓卡板区库位
567-076C,UK,G666,UK-5,UK-5PHIGH-P,G666-G34000594,12,0,"2021-03-03 11:51:53",Standard,71.50,43.00,35.50,7.430,英国仓卡板区库位
567-076D,UK,G666,UK-5,UK-5PHIGH-P,G666-G10000460,12,0,"2021-09-24 09:39:41",Standard,49.00,46.00,36.00,26.000,英国仓卡板区库位
567-076E,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A0060A,4,0,"2021-07-07 13:52:19",Standard,84.00,71.00,49.00,18.740,英国仓卡板区库位
567-076F,UK,G666,UK-5,UK-5PHIGH-P,G666-G31000064,30,0,"2021-08-04 13:39:11",Standard,41.50,22.00,21.00,2.830,英国仓卡板区库位
567-076G,UK,G666,UK-5,UK-5PHIGH-P,G666-G14000155,56,0,"2021-07-14 14:22:16",Standard,80.00,23.50,12.20,4.832,英国仓卡板区库位
567-077D,UK,G536,UK-5,UK-5PHIGH-P,M010000000000342294,180,0,"2021-02-14 07:54:54",Standard,44.00,31.00,10.00,0.680,英国仓卡板区库位
567-077E,UK,G666,UK-5,UK-5PHIGH-P,G666-G26001287,40,0,"2021-04-22 06:49:14",Standard,72.00,24.00,13.00,6.300,英国仓卡板区库位
567-077F,UK,G536,UK-5,UK-5PHIGH-P,M010000000001402225,40,0,"2020-11-17 08:33:19",Standard,79.00,34.00,8.00,2.950,英国仓卡板区库位
567-077G,UK,G666,UK-5,UK-5PHIGH-P,G666-G52000099,10,0,"2021-07-14 14:17:09",Standard,56.00,56.00,40.00,14.000,英国仓卡板区库位
567-078B,UK,G2425,UK-5,UK-5PHIGH-P,G2425-GY-17150-30-GRAY,8,0,"2021-10-05 14:32:23",Standard,76.00,53.00,45.00,16.560,英国仓卡板区库位
567-078C,UK,G1718,UK-5,UK-5PHIGH-P,G1718-901182-0322,8,0,"2021-03-08 12:09:08",Standard,76.00,62.00,29.00,10.500,英国仓卡板区库位
567-078E,UK,G536,UK-5,UK-5PHIGH-P,M010000000001402225,64,0,"2021-03-16 02:53:33",Standard,79.00,34.00,8.00,2.950,英国仓卡板区库位
567-078F,UK,G536,UK-5,UK-5PHIGH-P,M010000000001738264,24,0,"2021-03-12 00:45:06",Standard,90.00,47.70,9.70,12.360,英国仓卡板区库位
567-079B,UK,G2425,UK-5,UK-5PHIGH-P,G2425-GY-EU-8406-W,12,0,"2021-10-27 18:34:19",Standard,57.00,53.00,32.00,7.700,英国仓卡板区库位
567-079C,UK,G2425,UK-5,UK-5PHIGH-P,G2425-GY-EU-8406-W,12,0,"2021-10-27 18:34:09",Standard,57.00,53.00,32.00,7.700,英国仓卡板区库位
567-079D,UK,G2425,UK-5,UK-5PHIGH-P,G2425-EUDY-9035GOLD-L-G,24,0,"2021-10-27 18:39:57",Standard,94.00,37.50,17.50,9.200,英国仓卡板区库位
567-080B,UK,G2425,UK-5,UK-5PHIGH-P,G2425-GY-8196-GREY,14,0,"2021-10-27 18:35:05",Standard,59.00,57.50,27.50,9.500,英国仓卡板区库位
567-080C,UK,G2425,UK-5,UK-5PHIGH-P,G2425-GY-8196-GREY,14,0,"2021-10-27 18:34:55",Standard,59.00,57.50,27.50,9.500,英国仓卡板区库位
567-081B,UK,G2425,UK-5,UK-5PHIGH-P,G2425-GY-EU-8406-P,12,0,"2021-10-27 18:35:35",Standard,56.50,53.50,33.00,8.110,英国仓卡板区库位
567-081C,UK,G2425,UK-5,UK-5PHIGH-P,G2425-EUDY-9035GOLD-L-W,24,0,"2021-10-27 18:37:47",Standard,93.50,37.00,17.50,9.200,英国仓卡板区库位
568-004C,UK,G536,UK-5,UK-5PHIGH-P,M010000000001987992,80,0,"2021-02-17 12:06:26",Standard,62.00,61.00,5.00,1.470,英国仓卡板区库位
568-004D,UK,G666,UK-5,UK-5PHIGH-P,G666-G88000563,93,0,"2020-10-12 08:43:11",Standard,69.00,17.50,9.00,4.200,英国仓卡板区库位
568-004E,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000366,53,0,"2021-01-15 16:47:49",Standard,68.00,42.00,8.00,4.220,英国仓卡板区库位
568-004F,UK,G536,UK-5,UK-5PHIGH-P,M010000000001260760,20,0,"2020-11-28 05:03:43",Standard,62.00,61.00,12.00,1.600,英国仓卡板区库位
568-004G,UK,G666,UK-5,UK-5PHIGH-P,G666-G85000088,78,0,"2021-01-21 13:05:03",Standard,46.00,32.00,4.00,2.200,英国仓卡板区库位
568-005B,UK,G2425,UK-5,UK-5PHIGH-P,G2425-EUDY-FR18060-PINK,10,0,"2021-08-20 12:11:48",Standard,64.00,51.00,39.00,13.800,英国仓卡板区库位
568-005C,UK,G7283,UK-5,UK-5PHIGH-P,G7283-X001CIOK0D,6,0,"2021-10-28 17:36:53",Standard,72.00,60.00,41.00,16.750,英国仓卡板区库位
568-005E,UK,G536,UK-5,UK-5PHIGH-P,MP000000000004300,240,0,"2020-11-06 21:52:26",Standard,16.00,11.00,5.50,0.360,英国仓卡板区库位
568-005F,UK,G536,UK-5,UK-5PHIGH-P,M010000000000311515,360,0,"2021-03-16 04:21:21",Standard,26.00,25.50,6.00,1.050,英国仓卡板区库位
568-006B,UK,G666,UK-5,UK-5PHIGH-P,G666-G89001368,36,0,"2021-05-10 16:58:35",Standard,35.00,35.00,35.00,3.400,英国仓卡板区库位
568-006C,UK,G2425,UK-5,UK-5PHIGH-P,G2425-EUDY-QH8901-STOOL-GREY,6,0,"2021-10-28 12:40:38",Standard,70.00,70.00,45.00,16.000,英国仓卡板区库位
568-006D,UK,G666,UK-5,UK-5PHIGH-P,G666-G88000562,38,0,"2020-10-11 16:22:41",Standard,43.00,24.00,5.50,2.300,英国仓卡板区库位
568-006E,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A0014B,7,0,"2021-05-27 20:21:19",Standard,104.00,92.00,22.00,21.600,英国仓卡板区库位
568-006F,UK,G666,UK-5,UK-5PHIGH-P,G666-G13003726,48,0,"2020-11-10 09:16:57",Standard,77.00,39.00,7.00,5.400,英国仓卡板区库位
568-006G,UK,G536,UK-5,UK-5PHIGH-P,MP000000000004011,4,0,"2020-11-11 02:05:39",Standard,66.00,34.00,7.50,3.000,英国仓卡板区库位
568-007C,UK,G666,UK-5,UK-5PHIGH-P,G666-G13002693,21,0,"2021-08-09 10:33:03",Standard,91.00,39.50,19.00,11.500,英国仓卡板区库位
568-007D,UK,G666,UK-5,UK-5PHIGH-P,G666-G13005004,24,0,"2021-08-09 10:48:41",Standard,98.50,45.50,15.00,14.500,英国仓卡板区库位
568-007G,UK,G536,UK-5,UK-5PHIGH-P,M010000000001630662,89,2,"2021-03-16 04:30:22",Standard,43.00,42.00,10.50,0.800,英国仓卡板区库位
568-008B,UK,G2425,UK-5,UK-5PHIGH-P,G2425-EUDY-FR18060-PINK,10,0,"2021-08-20 12:15:56",Standard,64.00,51.00,39.00,13.800,英国仓卡板区库位
568-008C,UK,G2425,UK-5,UK-5PHIGH-P,G2425-EUDY-QH8901-STOOL-ORANGE,6,0,"2021-10-28 12:41:58",Standard,70.00,70.00,45.00,16.000,英国仓卡板区库位
568-008D,UK,G666,UK-5,UK-5PHIGH-P,G666-G88000593,201,0,"2020-11-12 16:00:51",Standard,30.00,30.00,4.00,1.500,英国仓卡板区库位
568-008E,UK,G666,UK-5,UK-5PHIGH-P,G666-G26000985,8,0,"2021-07-18 08:29:51",Standard,76.00,68.00,28.50,10.450,英国仓卡板区库位
568-008F,UK,G666,UK-5,UK-5PHIGH-P,G666-G13005013,21,0,"2021-08-09 11:57:15",Standard,90.50,39.00,19.00,9.860,英国仓卡板区库位
568-008G,UK,G2425,UK-5,UK-5PHIGH-P,G2425-EUDY-JK8464-V-GREEN,8,0,"2021-09-03 18:18:44",Standard,68.00,58.00,32.50,8.000,英国仓卡板区库位
568-009B,UK,G666,UK-5,UK-5PHIGH-P,G666-G26000711,30,0,"2021-04-13 15:06:37",Standard,125.00,33.00,12.00,13.500,英国仓卡板区库位
568-009C,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A0056A,4,0,"2021-08-05 19:21:03",Standard,76.00,64.00,62.00,28.500,英国仓卡板区库位
568-009D,UK,G2006,UK-5,UK-5PHIGH-P,G2006-BG0021-4UK,1,0,"2021-01-05 17:03:19",Standard,57.50,55.50,54.00,15.660,英国仓卡板区库位
568-009E,UK,G536,UK-5,UK-5PHIGH-P,M010000000001001584,192,0,"2020-12-03 00:33:36",Standard,41.00,12.00,12.00,0.600,英国仓卡板区库位
568-009F,UK,G666,UK-5,UK-5PHIGH-P,G666-G13005013,14,0,"2021-08-09 10:27:29",Standard,90.50,39.00,19.00,9.860,英国仓卡板区库位
568-010B,UK,G2425,UK-5,UK-5PHIGH-P,G2425-GY-94036B-26-GREY,7,0,"2021-10-28 12:35:22",Standard,63.00,54.00,52.00,17.000,英国仓卡板区库位
568-010D,UK,G4875,UK-5,UK-5PHIGH-P,G4875-TPRMWC20120002,8,0,"2021-03-21 18:32:52",Standard,68.00,59.00,52.00,22.530,英国仓卡板区库位
568-010E,UK,G666,UK-5,UK-5PHIGH-P,G666-G27000186,9,0,"2021-08-05 18:21:05",Standard,95.00,36.00,33.00,16.000,英国仓卡板区库位
568-010F,UK,G536,UK-5,UK-5PHIGH-P,M010000000002124361,18,0,"2020-12-19 03:27:46",Standard,47.50,37.50,26.00,12.600,英国仓卡板区库位
568-010G,UK,G536,UK-5,UK-5PHIGH-P,MP000000000002951,40,0,"2020-09-23 14:19:23",Standard,52.00,46.00,15.00,2.460,英国仓卡板区库位
568-011B,UK,G4527,UK-5,UK-5PHIGH-P,G4527-EBG25BZ01UK,32,0,"2021-08-13 08:42:38",Standard,71.00,39.00,7.00,5.200,英国仓卡板区库位
568-011C,UK,G666,UK-5,UK-5PHIGH-P,G666-G26000712,21,0,"2021-04-13 16:28:21",Standard,125.50,39.50,16.00,19.600,英国仓卡板区库位
568-011D,UK,188,UK-5,UK-5PHIGH-P,188-2262273,2,0,"2021-01-12 13:02:43",Standard,43.00,43.00,12.00,0.850,英国仓卡板区库位
568-011E,UK,G666,UK-5,UK-5PHIGH-P,G666-G26001535,17,0,"2021-08-05 14:48:47",Standard,80.00,63.00,17.00,7.000,英国仓卡板区库位
568-011F,UK,G536,UK-5,UK-5PHIGH-P,M010000000001260760,20,0,"2020-11-28 04:02:12",Standard,62.00,61.00,12.00,1.600,英国仓卡板区库位
568-011G,UK,G536,UK-5,UK-5PHIGH-P,M010000000001402225,64,0,"2021-03-16 04:18:11",Standard,79.00,34.00,8.00,2.950,英国仓卡板区库位
568-012B,UK,G333,UK-5,UK-5PHIGH-P,G333-J050109,890,37,"2021-09-01 14:41:28",Standard,18.00,15.00,2.50,0.419,英国仓卡板区库位
568-012C,UK,G2425,UK-5,UK-5PHIGH-P,G2425-GY-1269-LW,5,0,"2021-09-03 17:43:56",Standard,76.00,72.00,39.00,11.200,英国仓卡板区库位
568-012E,UK,G666,UK-5,UK-5PHIGH-P,G666-13030148,9,0,"2021-04-16 15:08:55",Standard,73.00,42.00,42.00,14.800,英国仓卡板区库位
568-012G,UK,G666,UK-5,UK-5PHIGH-P,G666-G85000088,78,0,"2021-01-21 13:36:32",Standard,46.00,32.00,4.00,2.200,英国仓卡板区库位
568-013B,UK,G666,UK-5,UK-5PHIGH-P,G666-G34000334,6,0,"2021-07-30 08:44:56",Standard,69.00,66.00,50.00,25.000,英国仓卡板区库位
568-013D,UK,G2425,UK-5,UK-5PHIGH-P,G2425-GY-3018-WHITE,10,0,"2021-08-07 09:33:33",Standard,62.00,55.00,26.00,9.100,英国仓卡板区库位
568-013E,UK,G666,UK-5,UK-5PHIGH-P,G666-G13005009,18,0,"2021-08-09 09:53:38",Standard,88.00,37.00,21.00,20.000,英国仓卡板区库位
568-013F,UK,G666,UK-5,UK-5PHIGH-P,G666-G14000475,18,0,"2021-09-24 12:28:11",Standard,51.50,46.00,32.00,7.500,英国仓卡板区库位
568-013G,UK,G666,UK-5,UK-5PHIGH-P,G666-G10000460,12,0,"2021-09-24 12:24:05",Standard,49.00,46.00,36.00,26.000,英国仓卡板区库位
568-014B,UK,G666,UK-5,UK-5PHIGH-P,G666-G34000334,6,0,"2021-07-30 08:47:34",Standard,69.00,66.00,50.00,25.000,英国仓卡板区库位
568-014C,UK,G536,UK-5,UK-5PHIGH-P,M010000000000964203,28,0,"2021-02-03 21:48:23",Standard,61.00,50.00,19.70,2.280,英国仓卡板区库位
568-014D,UK,G536,UK-5,UK-5PHIGH-P,M010000000000306936,24,0,"2021-02-05 19:38:32",Standard,64.00,34.00,15.00,9.700,英国仓卡板区库位
568-014E,UK,G2425,UK-5,UK-5PHIGH-P,G2425-TN-8091-GREEN,6,0,"2021-08-07 08:58:11",Standard,78.00,59.00,38.00,11.800,英国仓卡板区库位
568-014F,UK,G4875,UK-5,UK-5PHIGH-P,G4875-TPRMWC20120006,6,0,"2021-04-01 15:36:45",Standard,69.00,58.00,51.00,22.330,英国仓卡板区库位
568-014G,UK,G666,UK-5,UK-5PHIGH-P,G666-G13001950,30,1,"2021-01-27 07:24:39",Standard,42.00,38.00,24.00,12.900,英国仓卡板区库位
568-015B,UK,G536,UK-5,UK-5PHIGH-P,M010000000000168856,120,0,"2020-08-30 04:05:13",Standard,45.00,43.00,9.00,0.530,英国仓卡板区库位
568-015C,UK,G666,UK-5,UK-5PHIGH-P,G666-G88000563,105,0,"2020-10-12 08:47:33",Standard,69.00,17.50,9.00,4.200,英国仓卡板区库位
568-015D,UK,G666,UK-5,UK-5PHIGH-P,G666-G26000985,3,0,"2021-07-18 08:32:29",Standard,76.00,68.00,28.50,10.450,英国仓卡板区库位
568-015E,UK,G536,UK-5,UK-5PHIGH-P,M010000000001111463,31,0,"2021-03-06 04:22:40",Standard,112.00,39.00,6.00,5.400,英国仓卡板区库位
568-015F,UK,G666,UK-5,UK-5PHIGH-P,G666-G34000594,12,0,"2021-03-03 09:43:27",Standard,71.50,43.00,35.50,7.430,英国仓卡板区库位
568-015G,UK,G1422,UK-5,UK-5PHIGH-P,G1422-SH0566CZUK,4,0,"2021-09-24 11:41:26",Standard,125.00,58.00,52.00,23.500,英国仓卡板区库位
568-016C,UK,G666,UK-5,UK-5PHIGH-P,G666-13030148,9,0,"2021-04-15 14:56:26",Standard,73.00,42.00,42.00,14.800,英国仓卡板区库位
568-016D,UK,G7065,UK-5,UK-5PHIGH-P,G7065-X0014VJ6J3-9,12,0,"2021-10-30 12:36:28",Standard,60.00,47.00,40.00,8.320,英国仓卡板区库位
568-016F,UK,G3575,UK-5,UK-5PHIGH-P,G3575-ROBMT71UK,52,0,"2021-11-01 19:41:01",Standard,55.00,50.00,12.00,4.150,英国仓卡板区库位
568-016G,UK,G2852,UK-5,UK-5PHIGH-P,G2852-FUR-GTP-68-RED,10,0,"2021-06-05 14:51:46",Standard,79.00,53.00,28.00,18.000,英国仓卡板区库位
568-017B,UK,G907,UK-5,UK-5PHIGH-P,G907-HM0609700-1,4,0,"2020-10-12 23:36:10",Standard,131.00,71.00,14.00,16.000,英国仓卡板区库位
568-017C,UK,G2425,UK-5,UK-5PHIGH-P,G2425-EUDY-8135-BLUE,2,0,"2021-08-07 08:26:47",Standard,69.20,69.20,51.50,10.700,英国仓卡板区库位
568-017D,UK,G666,UK-5,UK-5PHIGH-P,G666-G89000945,19,0,"2021-04-12 13:24:42",Standard,44.00,44.00,38.00,6.000,英国仓卡板区库位
568-017G,UK,G666,UK-5,UK-5PHIGH-P,G666-G14000476,18,0,"2021-09-24 11:30:07",Standard,51.50,46.00,32.00,7.500,英国仓卡板区库位
568-018B,UK,G666,UK-5,UK-5PHIGH-P,G666-G52000557,14,0,"2021-10-13 17:21:57",Standard,94.00,76.00,14.00,12.300,英国仓卡板区库位
568-018C,UK,G666,UK-5,UK-5PHIGH-P,G666-G26000712,21,0,"2021-04-13 16:10:46",Standard,125.50,39.50,16.00,19.600,英国仓卡板区库位
568-018D,UK,G666,UK-5,UK-5PHIGH-P,G666-G34000334,6,0,"2021-07-30 08:42:11",Standard,69.00,66.00,50.00,25.000,英国仓卡板区库位
568-018E,UK,000023,UK-5,UK-5PHIGH-P,000023-SP0270,6,0,"2021-01-27 07:15:59",Standard,108.50,80.00,25.40,29.100,英国仓卡板区库位
568-018F,UK,G1925,UK-5,UK-5PHIGH-P,G1925-LIN8-PHSTHG-619,16,0,"2021-08-07 08:45:26",Standard,57.00,49.00,34.00,19.600,英国仓卡板区库位
568-018G,UK,G536,UK-5,UK-5PHIGH-P,M010000000000350777,2,2,"2021-10-08 20:29:39",Standard,55.50,10.00,10.00,0.700,英国仓卡板区库位
568-019C,UK,G666,UK-5,UK-5PHIGH-P,G666-G26001014,8,0,"2021-07-12 13:23:38",Standard,107.00,58.00,35.50,31.300,英国仓卡板区库位
568-019D,UK,G666,UK-5,UK-5PHIGH-P,G666-G34000330,8,0,"2021-07-30 08:39:21",Standard,71.00,71.00,34.00,25.000,英国仓卡板区库位
568-019E,UK,G666,UK-5,UK-5PHIGH-P,G666-G13003726,48,0,"2020-09-23 14:00:15",Standard,77.00,39.00,7.00,5.400,英国仓卡板区库位
568-019F,UK,G2425,UK-5,UK-5PHIGH-P,G2425-GY-EU-8436-PURPLE,6,0,"2021-09-03 18:23:05",Standard,57.00,53.00,32.00,7.700,英国仓卡板区库位
568-020B,UK,G679,UK-5,UK-5PHIGH-P,G679-GB-XDOT40500,40,0,"2021-01-12 18:17:25",Standard,51.00,26.00,6.50,4.200,英国仓卡板区库位
568-020C,UK,G4875,UK-5,UK-5PHIGH-P,G4875-TPRMWC20120006,6,0,"2021-04-01 14:11:15",Standard,69.00,58.00,51.00,22.330,英国仓卡板区库位
568-020D,UK,G536,UK-5,UK-5PHIGH-P,M010000000002313502,60,0,"2020-12-16 11:58:21",Standard,117.00,33.00,5.00,4.200,英国仓卡板区库位
568-020E,UK,G666,UK-5,UK-5PHIGH-P,G666-G34000330,8,0,"2021-07-30 11:50:06",Standard,71.00,71.00,34.00,25.000,英国仓卡板区库位
568-020F,UK,G536,UK-5,UK-5PHIGH-P,M010000000001629183,18,0,"2020-12-03 00:09:40",Standard,56.00,50.00,26.00,3.300,英国仓卡板区库位
568-021B,UK,G666,UK-5,UK-5PHIGH-P,G666-G89001193,28,0,"2021-07-18 08:42:58",Standard,98.00,67.00,18.00,19.700,英国仓卡板区库位
568-021C,UK,G907,UK-5,UK-5PHIGH-P,G907-HM0449609-2,6,0,"2020-12-16 12:09:18",Standard,68.00,58.00,28.00,13.800,英国仓卡板区库位
568-021D,UK,G2425,UK-5,UK-5PHIGH-P,G2425-GY-1573-VELVET-PINK,10,0,"2021-08-20 12:19:29",Standard,61.00,54.00,39.00,6.950,英国仓卡板区库位
568-021E,UK,G666,UK-5,UK-5PHIGH-P,G666-G26001263,26,1,"2021-04-13 16:18:15",Standard,72.00,24.00,13.00,6.100,英国仓卡板区库位
568-021F,UK,G2425,UK-5,UK-5PHIGH-P,G2425-TN-3512-ROCK-GRAY,6,0,"2021-08-07 08:39:16",Standard,84.00,61.00,40.00,13.700,英国仓卡板区库位
568-021G,UK,G666,UK-5,UK-5PHIGH-P,G666-G34000593,12,0,"2021-03-03 10:38:24",Standard,71.50,43.00,35.50,7.430,英国仓卡板区库位
568-022B,UK,G2425,UK-5,UK-5PHIGH-P,G2425-GY-1342S-LP,6,0,"2021-05-14 15:13:15",Standard,72.00,60.00,47.00,10.900,英国仓卡板区库位
568-022C,UK,G666,UK-5,UK-5PHIGH-P,G666-G14000341,8,0,"2021-04-07 22:34:39",Standard,75.00,67.00,29.00,13.000,英国仓卡板区库位
568-022D,UK,G666,UK-5,UK-5PHIGH-P,G666-G14000426,8,0,"2021-04-07 22:51:46",Standard,70.00,60.00,35.00,15.000,英国仓卡板区库位
568-022E,UK,G666,UK-5,UK-5PHIGH-P,G666-17001374,15,0,"2020-08-19 16:43:43",Standard,67.50,23.00,12.50,1.283,英国仓卡板区库位
568-022F,UK,G2425,UK-5,UK-5PHIGH-P,G2425-EUDY-8112-BLUE,5,0,"2021-08-07 08:33:38",Standard,58.00,55.00,46.00,10.800,英国仓卡板区库位
568-022G,UK,G536,UK-5,UK-5PHIGH-P,M010000000002535388,36,0,"2021-03-12 02:16:53",Standard,48.00,38.00,21.00,4.400,英国仓卡板区库位
568-023B,UK,G2425,UK-5,UK-5PHIGH-P,G2425-GY-1342S-Y,6,0,"2021-05-14 15:13:24",Standard,72.00,59.00,46.50,9.400,英国仓卡板区库位
568-023C,UK,G3575,UK-5,UK-5PHIGH-P,G3575-ROBMT71UK,72,0,"2021-11-01 19:38:01",Standard,55.00,50.00,12.00,4.150,英国仓卡板区库位
568-023D,UK,G4875,UK-5,UK-5PHIGH-P,G4875-TPRMWC20120006,6,0,"2021-04-01 13:40:10",Standard,69.00,58.00,51.00,22.330,英国仓卡板区库位
568-023E,UK,G1718,UK-5,UK-5PHIGH-P,G1718-901182-0323,18,0,"2021-03-08 12:02:37",Standard,76.00,65.00,16.00,6.000,英国仓卡板区库位
568-023F,UK,G666,UK-5,UK-5PHIGH-P,G666-G10000687,10,0,"2021-01-13 14:56:04",Standard,65.50,41.00,32.00,7.000,英国仓卡板区库位
568-023G,UK,G666,UK-5,UK-5PHIGH-P,G666-G34000593,12,0,"2021-03-03 10:33:17",Standard,71.50,43.00,35.50,7.430,英国仓卡板区库位
568-024B,UK,G666,UK-5,UK-5PHIGH-P,G666-G13002321,8,3,"2020-11-16 10:17:18",Standard,76.00,43.00,10.00,10.000,英国仓卡板区库位
568-024C,UK,G2807,UK-5,UK-5PHIGH-P,G2807-J0415-01-RD,4,0,"2021-07-12 12:43:06",Standard,75.00,69.00,52.00,14.000,英国仓卡板区库位
568-024D,UK,G2852,UK-5,UK-5PHIGH-P,G2852-FUR-GTP-67-WHITE,10,0,"2021-06-30 10:39:09",Standard,80.00,53.00,28.00,18.600,英国仓卡板区库位
568-024E,UK,G666,UK-5,UK-5PHIGH-P,G666-G26001014,8,0,"2021-07-12 12:11:21",Standard,107.00,58.00,35.50,31.300,英国仓卡板区库位
568-024F,UK,G536,UK-5,UK-5PHIGH-P,M010000000001177214,70,0,"2020-12-03 00:06:58",Standard,52.50,48.00,5.00,1.300,英国仓卡板区库位
